x_over_width,top_y_over_width,underside_y_over_width,observed_not_interpolated
-0.28651685393258425,0.127409648238309,-0.2070770232797177,1
-0.28491171749598715,0.1276004869992901,-0.20726786204069883,1
-0.28330658105939005,0.12779132576027125,-0.20847993592576303,1
-0.28170144462279295,0.1279821645212524,-0.20969200981082722,1
-0.28009630818619585,0.1281730032822335,-0.2098828485718084,1
-0.2784911717495987,0.12995759345024113,-0.21090408369589145,1
-0.2768860353130016,0.13014843221122224,-0.21109492245687259,1
-0.2752808988764045,0.13033927097220338,-0.21390074774896328,1
-0.2736757624398074,0.1305301097331845,-0.21390074774896328,1
-0.27207062600321025,0.13072094849416563,-0.21390074774896328,1
-0.27046548956661315,0.1309117872551467,-0.2151128216340275,1
-0.26886035313001605,0.13110262601612788,-0.21651573428007284,1
-0.26725521669341895,0.13129346477710901,-0.21772780816513704,1
-0.26565008025682185,0.13148430353809012,-0.2179186469261182,1
-0.2640449438202247,0.1316751422990712,-0.2191307208111824,1
-0.2624398073836276,0.13186598106005235,-0.22034279469624665,1
-0.2608346709470305,0.1320568198210335,-0.22053363345722776,1
-0.2592295345104334,0.1322476585820146,-0.2215548685813109,1
-0.2576243980738363,0.13262933610397684,-0.22174570734229201,1
-0.25601926163723915,0.13282017486495798,-0.2227669424663751,1
-0.25441412520064205,0.13282017486495798,-0.22295778122735627,1
-0.25280898876404495,0.13460476503296553,-0.2243606938734016,1
-0.25120385232744785,0.13479560379394667,-0.2255727677584658,1
-0.24959871589085073,0.13498644255492778,-0.22576360651944696,1
-0.2479935794542536,0.13517728131590892,-0.22697568040451116,1
-0.2463884430176565,0.13536812007689003,-0.22837859305055652,1
-0.2447833065810594,0.13555895883787117,-0.22978150569660186,1
-0.24317817014446227,0.1357497975988523,-0.23099357958166608,1
-0.24157303370786518,0.13753438776685992,-0.23099357958166608,1
-0.23996789727126805,0.13772522652784105,-0.23099357958166608,1
-0.23836276083467095,0.13791606528882214,-0.23220565346673028,1
-0.23675762439807382,0.1381069040498033,-0.23341772735179453,1
-0.23515248796147672,0.13829774281078439,-0.2336085661127756,1
-0.23354735152487963,0.13848858157176552,-0.23462980123685878,1
-0.2319422150882825,0.13867942033274663,-0.23482063999783984,1
-0.2303370786516854,0.13887025909372777,-0.23584187512192298,1
-0.22873194221508827,0.13906109785470888,-0.23603271388290412,1
-0.22712680577849118,0.14084568802271646,-0.23724478776796834,1
-0.22552166934189405,0.14084568802271646,-0.23743562652894942,1
